length, time
5, 2.193450927734375e-06
10, 1.2874603271484376e-06
100, 2.0503997802734374e-06
1000, 5.7220458984375e-06
10000, 5.359649658203125e-05
30000, 0.0001858234405517578
50000, 0.00034193992614746095
75000, 0.0008069515228271484
