length, time
5, 2.86102294921875e-06
10, 1.71661376953125e-06
100, 6.67572021484375e-06
1000, 1.6498565673828126e-05
10000, 5.564689636230469e-05
30000, 0.00019545555114746093
50000, 0.0003444671630859375
75000, 0.0005731582641601562
