length, time
5, 1.621246337890625e-06
10, 1.4781951904296875e-06
100, 2.7179718017578126e-06
1000, 6.580352783203125e-06
10000, 5.4788589477539065e-05
30000, 0.000191497802734375
50000, 0.00035586357116699217
75000, 0.0007913112640380859
